;Produtos;08/05/2025 - 04:08;08/05/2025 - 14:37;08/05/2025 - 15:00;08/05/2025 - 20:47;08/05/2025 - 21:00;08/05/2025 - 22:00;08/05/2025 - 23:00;09/05/2025 - 13:32;09/05/2025 - 14:00;09/05/2025 - 15:00;09/05/2025 - 16:00;09/05/2025 - 17:00;09/05/2025 - 18:00;09/05/2025 - 19:00;09/05/2025 - 20:00;09/05/2025 - 21:00;09/05/2025 - 22:00;09/05/2025 - 23:00;10/05/2025 - 00:00;10/05/2025 - 01:00;09/05/2025 - 23:05;11/05/2025 - 14:55;11/05/2025 - 15:00;11/05/2025 - 16:00;11/05/2025 - 17:00;11/05 - 19:00;11/05 - 19:04;11/05 - 19:28
0;RTX 4060 EAGLE OC 8G;R$ 2.549,90;R$ 2.549,90;R$ 2.549,90;R$ 2.549,90;R$ 2.549,90;R$ 2.549,90;R$ 2.549,90;R$ 2.549,90;R$ 2.549,90;R$ 2.549,90;R$ 2.549,90;R$ 2.549,90;R$ 2.549,90;R$ 2.549,90;R$ 2.699,90;R$ 2.699,90;R$ 2.699,90;R$ 2.699,90;R$ 2.699,90;R$ 2.699,90;R$ 2.699,90;R$ 2.699,90;R$ 2.699,90;R$ 2.699,90;R$ 2.699,90;R$ 2.699,90;R$ 2.699,90;2699.9
1;RTX 4060 Infinity 2 Palit 8G;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;R$ 2.299,90;2299.9
2;RTX 4060 Ti ASUS OC 8G;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;R$ 3.099,99;3099.99
3;RTX 4060 Ti EAGLE OC 8G;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;R$ 3.299,99;3299.99
4;RTX 5060 Ti EAGLE OC 16G;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;R$ 4.499,99;4499.99
5;RTX 5070 WINDFORCE OC 12G;R$ 4.799,99;R$ 4.799,99;R$ 4.799,99;R$ 4.799,99;R$ 4.799,99;R$ 4.799,99;R$ 4.799,99;R$ 4.799,99;R$ 4.799,99;R$ 4.799,99;R$ 4.799,99;R$ 4.799,99;R$ 4.799,99;R$ 4.799,99;R$ 4.799,99;R$ 4.899,99;R$ 4.899,99;R$ 4.899,99;R$ 4.899,99;R$ 4.899,99;R$ 4.899,99;R$ 4.899,99;R$ 4.899,99;R$ 4.899,99;R$ 4.899,99;R$ 4.899,99;R$ 4.899,99;4899.99
6;RX 6750XT Gaming XFX 12G;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;R$ 2.799,99;2799.99
7;RX 7600 GAMING OC 8G;R$ 1.899,99;R$ 1.849,90;R$ 1.849,90;R$ 1.899,99;R$ 1.899,99;R$ 1.899,99;R$ 1.899,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;R$ 1.999,99;1999.99
8;RX 7600 XFX 8G;R$ 1.799,90;R$ 1.799,90;R$ 1.799,90;R$ 1.799,90;R$ 1.799,90;R$ 1.799,90;R$ 1.799,90;R$ 1.729,99;R$ 1.729,99;R$ 1.729,99;R$ 1.729,99;R$ 1.729,99;R$ 1.729,99;R$ 1.729,99;R$ 1.729,99;R$ 1.729,99;R$ 1.729,99;R$ 1.729,99;R$ 1.729,99;R$ 1.729,99;R$ 1.729,99;R$ 1.749,99;R$ 1.749,99;R$ 1.749,99;R$ 1.749,99;R$ 1.749,99;R$ 1.749,99;1749.99
9;RX 7700 XT GAMING OC 12G;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;3799.99
10;RX 7700 XT Phantom Gaming 12G;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;R$ 3.799,99;3799.99
11;RX 7800XT Gaming 16G;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;R$ 3.899,99;3899.99
12;RX 9070 GAMING OC 16G;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;R$ 5.999,90;5999.9
13;RX 9070 Steel Legend OC 16G;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;6099.99
14;RX 9070 XT XFX 16G;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 6.099,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;R$ 5.799,99;5799.99
15;Arc B580 Challenger 12G;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;R$ 2.299,99;2299.99
16;Arc B580 Steel Legend 12G;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;R$ 2.499,99;2499.99
